2g
2n
a
aa
ab
abc
abis
abissín
abl
abr
abrev
abs
åbs
absol
abst
abstr
abus
ac
aç
acad
academ
acadêm
acc
accel
acep
acepç
açor
acus
acúst
ad
adag
adapt
adit
adj
adjet
adm
admdor
admir
admirdor
admor
admr
admrdor
admstrdor
adv
adv.ª
adv.º
adverb
advers
advoc
aer
aerof
aeron
aerost
aet
aetat
af
afér
afl
afls
afor
afr
afric
afrolus
ag
ág
agl
agn
ago
agr
agric
agrim
agrol
agron
aj
al
alat
alb
alent
alentej
alf
alfaiat
alg
álg
algar
algv
alm
alop
alp
alq
alquil
als
alt
altan
alter
altern
altit
alto-al
alus
alv
alveit
alven
am
amár
amer
an
anal
anál
anam
anarq
anat
and
anes
ang
angl
angol
anim
anôn
ant
antec
antig
antiq
antol
anton
antôn
antonom
antr
antrop
antropogr
antropol
antropon
antropôn
anu
ap
apart
apass
apênd
apic
apl
apóc
aport
aportg
aportug
aprox
apt
apto
aptº
aq
ar
ár
ara
aráb
aracn
aram
arb
arboric
arc
arcaic
arceb
arcebd
arcip
arcipd
ard
arg
arit
aritm
aritmol
arm
arom
arq
arqueol
arquid
arquip
arquit
arr
art
artes
artesan
artilh
artíst
arts
aru
as
ascet
asiát
ásio-lus
asolus
asp
ass
assem
assemb
assim
assist
assoc
ast
astr
astrol
astron
astrôn
astronáut
astroním
at
át
ativ
atl
atlt
atm
atom
atôm
atr
atualid
atualm
au
aum
aus
austr
austral
aut
autom
automat
aux
av
aven
aviaç
avic
ax
axiôn
b
bact
bacter
bacteriol
bal
balíst
bált
bárb
basq
bat
bbl
beir
beng
berb
bíb
bibl
bíbl
bibliof
bibliog
bibliogr
bibliol
bibliôn
bibliot
bibliotec
bibliotecon
biblog
biblol
biblon
bien
bim
bimen
biodim
biofís
biogen
biogên
biogeo
biogeog
biogeogr
biogr
biol
biom
bioq
bioquím
biot
biotip
biotipol
birm
birrel
bisp
bispd
bitr
bitrans
biz
bm
boêm
bol
boliv
bomb
bor
bord
borg
borr
bot
bpo
br
bras
bret
brig
brit
brom
bromat
btl
bud
búlg
bur
burl
buroc
c
cab
cabo-verd
caç
cad
caf
cal
calç
cálc
calcog
calcogr
cald
calig
caligr
calorim
calv
calvin
câm
can
canad
canaliz
cant
cap
capac
capit
capix
caps
capt
car
card
carid
carn
carp
carr
cart
cartogr
cast
casuís
casuíst
cat
catacr
catal
catar
catarin
categ
catol
catól
catolic
catóp
catópt
cau
caus
causalid
cav
cb
cc
ce
cear
celt
célt
cên
cenog
cent
cênt
centr
cer
cerâm
cerv
cest
cet
cf
cfr
ch
chanc
chancel
chap
chapel
chil
chin
chul
cia
ciber
cibern
cicl
cid
cien
ciênc
cient
cig
cin
cineg
cinem
cinematogr
cing
cinol
cinz
cir
circ
círc
circunscr
cirurg
cit
citol
citt
civ
cl
clas
clás
cláss
clich
clim
climatol
clín
co
cob
cód
códs
cogn
col
colet
colomb
cols
com
comb
combin
combinat
combust
comdor
comend
comerc
comp
compar
compl
compr
compt
comte
comunic
con
côn
conc
conces
concess
concl
concr
concret
cond
condic
conf
confed
confeit
confl
confls
cong
conhec
conj
conjug
conq
conquil
conquiliol
cons
consec
consel
conselh
conseq
const
constel
constrt
consuet
cont
contab
contemp
contr
coord
cop
copul
copulat
coq
cor
coreog
coreogr
corog
corogr
corp
corr
correi
corresp
corrup
corrupt
corrut
corv
cos
cosec
cosm
cosmog
cosmogr
cosmol
cost
cot
côv
cp
cr
cra
crª
créd
cresc
crim
criminol
cript
criptog
crist
cristalogr
cristand
cristian
cron
crôn
cronol
cronom
cronôn
crust
ctv
cul
culin
cult
curt
cut
cutel
cv
cvs
cx
cyat
d
d.o.u
da
dactilog
dactilogr
dactilos
dactilosc
dad
dasim
dat
dd
dec
decl
declin
decor
decr
decresc
ded
def
defect
defin
definit
del
dem
democ
democr
demog
demogr
demonstr
dens
dep
depr
deprec
deps
depto
der
deriv
derm
des
desc
descr
desemb
desemboc
desen
desin
desp
despor
desus
det
determ
dev
dez
diác
dial
dialet
dialét
dic
did
didát
diet
dif
dim
dimin
din
dinam
dinâm
dioc
dipl
diplom
dir
disc
disfem
diss
distr
doc
docs
docum
dog
dogm
dogmát
dól
dom
domin
domín
dór
dpto
dr
dr_a_
dra
drª
dram
drav
drs
dualid
dur
dúv
dz
e
ecd
ecl
écl
ecles
ecol
econ
ed
edd
edif
educ
ee
efem
egíp
el
elem
eletr
elétr
eletrodin
eletrol
eletrom
eletrôn
eletrot
elipt
em
emb
embal
embr
embriol
emigr
emol
emp
empír
empr
empreend
emprés
enc
encicl
encícl
end
endoc
energ
energét
enf
eng
enol
ens
ent
entom
entomol
enx
epig
epigr
epíst
eq
equat
equit
equiv
ergol
erud
esc
escand
escoc
escol
escolást
escr
escul
escult
esgr
esl
eslav
eslov
esot
esp
espec
especialm
especif
específ
espect
espectrogr
espel
espeleol
espet
espir
espirit
esport
esq
est
estad
estat
estatíst
estenog
estenogr
estereogr
estét
estil
estim
eston
estr
estrang
estrangeir
estrat
estratég
estrem
estrut
estud
et
etc
etim
etimol
etióp
etn
étn
etnog
etnogr
etnol
etnolog
etol
euf
eufem
eufêm
eufon
eufôn
eufor
eur
ex
ex.ª
ex.ma
ex.mo
ex.º
exa
exag
excl
exclam
exclamat
excurs
exe
exérc
exma
exmo
exmo_a_
exp
exper
experim
expl
explet
explor
explos
export
expr
express
expression
ext
extens
extrat
exx
f
fáb
fac
falc
falcoar
fam
farm
farmac
farmacol
farmacop
fasc
fascs
fauv
fed
feder
feit
fem
fen
fenom
fenôm
fer
ferrad
ferrov
feud
fev
ff
fg
fig
figd
figur
figurat
figurativ
fil
filat
filol
filos
fin
finl
fis
fís
fisc
fisioc
fisiocr
fisiocrat
fisiol
fisl
fispat
fitog
fitogr
fitol
fitopat
fitossoc
fl
flam
flex
floric
fls
flum
flumin
fluv
fm
fo
fog
fol
folc
folcl
folh
fols
fon
fonét
fonol
for
form
fórm
formul
forrag
fort
fos
fós
fot
fotoan
fotoanál
fotogr
fotom
fov
fr
frac
fracc
frag
franc
frânc
freg
frenol
freq
frig
frut
frutíf
fs
fss
ft
fulv
fund
fut
futb
futeb
futur
g
gaél
gal
galic
galv
gar
gasc
gat
gaul
gav
gea
gen
gên
geneal
genét
genov
geo
geod
geof
geofís
geog
geogn
geogr
geol
geom
geomor
geomorf
geon
geôn
ger
germ
gg
gin
ginást
ginec
ginecol
gír
gliptog
gliptogr
gliptol
gliptot
gloss
glót
glotol
gn
gnom
gót
gov
gr
graf
gráf
grafol
grafosc
gram
grav
grd
groen
groenl
gt
guar
guat
guatem
guin
gutt
guz
h
hab
hag
hagiog
hagiogr
hagiol
haplol
hast
hebd
hebr
helm
helmin
helmintol
hem
heort
heortôn
her
herál
heráld
herb
herp
herpet
herpét
herpetogr
herpetol
het
hh
hib
híb
hibr
híbr
hibrid
hidr
hidrául
hidrod
hidrog
hidrogr
hidrol
hidrom
hidrost
hidrot
hier
hierôn
hierosolim
hig
higr
hind
hip
híp
hipál
hipérb
hipiat
hipnot
hipnoter
hipoc
hipocor
hipol
hipot
hipót
hipotét
hisp
hist
histol
historiog
historiogr
hol
hom
homeo
homeop
homof
homog
homogr
homon
homôn
hon
hond
hort
hortic
hot
hotent
hum
húng
i
iat
ib
ibér
ibid
iconog
iconogr
iconol
ict
ictiol
id
idiot
idol
idolol
igr
ii
il
il.ma
il.mo
ilum
ilus
ilusion
ilustr
imigr
imit
imp
imper
imperat
imperf
impes
impess
import
impr
impres
impression
improp
impror
in
inc
incoat
incóg
ind
indef
indet
indian
indiv
indoch
indon
indost
indum
indust
indúst
inf
infan
infant
infer
infin
infinit
infinitiv
infl
inform
ing
ingl
init
ins
inscr
insep
inst
instit
int
integr
intens
interamn
interj
interjet
intern
internac
interr
interrog
interrogat
intj
intr
intrans
inus
inv
invar
invariav
invenç
invest
investig
iog
iran
iraq
irl
iron
irôn
irr
irreg
isl
islam
island
isr
it
ít
ital
itál
italian
iug
j
jam
jan
jap
jard
jardin
jav
jaz
jes
joalh
joc
jog
jorn
jornª
jr
jud
jul
jun
jur
juris
jurisp
jurispr
just
k
l
lab
labor
laborat
labort
lact
lad
lâm
lanc
lanç
lap
lapid
larg
lat
latit
latoar
laud
lb
lda
leg
lég
legisl
légs
leit
let
lex
lib
lig
lim
limit
lin
ling
líng
lingüíst
líq
lit
liter
literat
litog
litogr
litol
lituan
litur
liturg
liv
livr
ll
loc
log
lóg
logar
logíst
lomb
long
loq
lr
ltd
ltda
ludol
lug
lund
lunf
lus
lusit
lut
luv
m
maç
maçon
mad
madeir
mag
magn
magnet
magnit
maiúsc
maj
mal
malab
malac
malacol
malai
malg
malh
mamal
man
manuf
maomet
map
maq
máq
maquinof
mar
maranh
marc
march
marchet
marg
marin
marinh
marít
